user,repo,type,orcount
doocs,advanced-java.git,,0
etsy,AndroidStaggeredGrid.git,build.gradle,0
binIoter,GuideView.git,build.gradle,0
ryanhoo,StylishMusicPlayer.git,build.gradle,0
andremion,Music-Player.git,build.gradle,0
GrowingGit,GitHub-Chinese-Top-Charts.git,,0
spring-projects,spring-framework.git,build.gradle,0
square,retrofit.git,build.gradle,0
apache,dubbo.git,pom.xml,65185151242703554760590262029100101153646988597309960020356494379340201592426774597868716031
jeecgboot,jeecg-boot.git,pom.xml,9850501549098619803069694839884660748641624019478487920205156235079720304564350360072551898221396072840239297593344
termux,termux-app.git,build.gradle,0
apache,rocketmq.git,pom.xml,744282853678701455922497728775767544558325683648973809067498248786747330826070505204709525827627679934239884787765678570739086774203580496
mybatis,mybatis-3.git,pom.xml,24387916266490010606212805850179834447026703839785454519235665270260477534320206418561236754939372064162186342215005115156544181006006623404362
Tencent,tinker.git,build.gradle,0
Curzibn,Luban.git,build.gradle,0
Netflix,zuul.git,build.gradle,0
Netflix,eureka.git,build.gradle,0
pagehelper,Mybatis-PageHelper.git,pom.xml,3097362866898063256879762520465236650885868555867102516230493270388909391515382994477393364695581000362407176539383042952879304562486583524065280
apache,zookeeper.git,pom.xml,837987992499663838183902556551963505112606857524766400839935936512753242054744822822920210457802112517899622869379231566718374363212104978715077318283854
clojure,clojure.git,pom.xml,25977627864263781880424673434023826871991271277397762169339400297210917808267497267553631452698375391149436725236316723529148147948146479271215194949287936
googlesamples,easypermissions.git,build.gradle,0
bilibili,DanmakuFlameMaster.git,build.gradle,0
florent37,MaterialViewPager.git,build.gradle,0
java-native-access,jna.git,,0
software-mansion,react-native-svg.git,build.gradle,0
gocd,gocd.git,build.gradle,0
NanoHttpd,nanohttpd.git,pom.xml,27432375024662553665728455146329161176822782468932036850822440889973229696305313208686884837028818562094397831283273908199699991407672752260236476521948119040
apache,storm.git,pom.xml,4898883310657342436947850401401639604522231755162884830509051103041099797379602839794892112704974560564481371811219663698159809153306003586620698172731342021841447770812054908972978826895976976917463674
beemdevelopment,Aegis.git,build.gradle,0
JesusFreke,smali.git,build.gradle,0
emilsjolander,StickyListHeaders.git,pom.xml,4898883310657342436947850401401639604522231782621865961233415550616320366316550245614411808808882209683752589725123921141977824503727074585042721378292777435812376133285876920625254286345394996247527424
Genymobile,gnirehtet.git,build.gradle,0
Evernote,android-job.git,build.gradle,0
KeepSafe,TapTargetView.git,build.gradle,0
AntennaPod,AntennaPod.git,build.gradle,0
dromara,lamp-cloud.git,pom.xml,722947573429303679209174096983070048144050900631200567109906430735605888649999997069001357713990432578014213421027765120889160455007153223022395471878428872029532942374890656162024510951445790677419012420454099708520562688
google,google-authenticator.git,,0
wequick,Small.git,build.gradle,0
lingochamp,okdownload.git,build.gradle,0
apache,groovy.git,build.gradle,0
DingMouRen,LayoutManagerGroup.git,build.gradle,0
andkulikov,Transitions-Everywhere.git,build.gradle,0
claritylab,lucida.git,build.gradle,0
Javen205,IJPay.git,pom.xml,194064760814641043464318756838840955802726019121640474958377658434305474784947490218892985127677085969032087277855522780772894119493614809653983237617031457099974329925714895137876198041152505442659374402342961177973623935843500032
pardom-zz,ActiveAndroid.git,pom.xml,582194284612765850680867308173438458221332256418761229177144514259769107257391332374079403310742429231432899011424152452314342516543055396856792879383146481962260878036918815734996470709159376829830119076983877374011592168049737728
hansonwang99,Spring-Boot-In-Action.git,pom.xml,104187724737488676972511674106951195122575996937838428213590054965633459799618350853338367244798047056507827748316077055538279846834303208607115723170523429117905298099385483973648952519532617824462502940104783907876326658680525179800586240
go-lang-plugin-org,go-lang-idea-plugin.git,build.gradle,0
Netflix,ribbon.git,build.gradle,0
ZhongFuCheng3y,austin.git,pom.xml,55935359111787174740216269228208919811273546195526224202055544592579271659425523024662694593378935933108182087359240101999707523295281544365540387261433523286853251863120518050558979097346907867829244813477941964028629824052867832820754954467147776
201206030,novel.git,pom.xml,28583842549299042805060901679562138821051514944473955403237629081646875459624986551409796122012586296122829441476783405675408647874403760497770545164236367480306726577048624254918566690151838928949017090686172870336518504178135906708069583469465305088
NekoX-Dev,NekoX.git,build.gradle,0
objectbox,objectbox-java.git,build.gradle,0
oshi,oshi.git,pom.xml,29297598708599885312120415964149359776008339173130577537618603045464218477476020955010225803938814501589358957441916134461678593137443850793916021230800499620822613822680118385872518046019823152571030705629636458014324150662243775721757192019165499621924
baoyachi,StepView.git,build.gradle,0
pqpo,SmartCropper.git,build.gradle,0
discord-jda,JDA.git,,0
